tiempo_s,referencia_rpm,velocidad_rpm,error_rpm,duty_percent,encoder_count,referencia_counts_100ms,velocidad_counts_100ms,error_counts_100ms,kp,ki,kd,sample_time_s,sample_time_count,encoder_counts_per_rev,monitor_interval_nominal_ms,sentido_giro
0.070,100.000,0.000,0.000,0.000,-47707,220,0,0,350,40,0,0.1,10000000,1320,100,horario
0.127,100.000,0.000,0.000,0.000,-47707,220,0,0,350,40,0,0.1,10000000,1320,100,horario
0.224,100.000,0.000,100.000,85.800,-47797,220,0,220,350,40,0,0.1,10000000,1320,100,horario
0.327,100.000,81.364,18.636,24.790,-48076,220,-179,41,350,40,0,0.1,10000000,1320,100,horario
0.427,100.000,120.909,-20.909,0.000,-48306,220,-266,-46,350,40,0,0.1,10000000,1320,100,horario
0.527,100.000,96.818,3.182,11.330,-48482,220,-213,7,350,40,0,0.1,10000000,1320,100,horario
0.627,100.000,72.727,27.273,32.280,-48624,220,-160,60,350,40,0,0.1,10000000,1320,100,horario
0.726,100.000,64.091,35.909,42.090,-48771,220,-141,79,350,40,0,0.1,10000000,1320,100,horario
0.827,100.000,71.818,28.182,38.620,-48944,220,-158,62,350,40,0,0.1,10000000,1320,100,horario
0.927,100.000,79.091,20.909,34.860,-49123,220,-174,46,350,40,0,0.1,10000000,1320,100,horario
1.023,100.000,80.909,19.091,35.140,-49294,220,-178,42,350,40,0,0.1,10000000,1320,100,horario
1.126,100.000,80.909,19.091,36.820,-49478,220,-178,42,350,40,0,0.1,10000000,1320,100,horario
1.227,100.000,81.364,18.636,38.110,-49659,220,-179,41,350,40,0,0.1,10000000,1320,100,horario
1.323,100.000,83.182,16.818,38.190,-49839,220,-183,37,350,40,0,0.1,10000000,1320,100,horario
1.427,100.000,85.000,15.000,38.110,-50037,220,-187,33,350,40,0,0.1,10000000,1320,100,horario
1.527,100.000,87.273,12.727,37.480,-50231,220,-192,28,350,40,0,0.1,10000000,1320,100,horario
1.627,100.000,88.636,11.364,37.430,-50427,220,-195,25,350,40,0,0.1,10000000,1320,100,horario
1.727,100.000,89.091,10.909,38.040,-50624,220,-196,24,350,40,0,0.1,10000000,1320,100,horario
1.825,100.000,90.000,10.000,38.220,-50818,220,-198,22,350,40,0,0.1,10000000,1320,100,horario
1.925,100.000,90.455,9.545,38.710,-51022,220,-199,21,350,40,0,0.1,10000000,1320,100,horario
2.025,100.000,91.818,8.182,38.380,-51224,220,-202,18,350,40,0,0.1,10000000,1320,100,horario
2.127,100.000,92.273,7.727,38.710,-51431,220,-203,17,350,40,0,0.1,10000000,1320,100,horario
2.227,100.000,93.182,6.818,38.610,-51637,220,-205,15,350,40,0,0.1,10000000,1320,100,horario
2.323,100.000,93.636,6.364,38.820,-51837,220,-206,14,350,40,0,0.1,10000000,1320,100,horario
2.427,100.000,94.091,5.909,38.990,-52053,220,-207,13,350,40,0,0.1,10000000,1320,100,horario
2.527,100.000,95.000,5.000,38.730,-52260,220,-209,11,350,40,0,0.1,10000000,1320,100,horario
2.626,100.000,95.000,5.000,39.170,-52470,220,-209,11,350,40,0,0.1,10000000,1320,100,horario
2.727,100.000,95.455,4.545,39.220,-52681,220,-210,10,350,40,0,0.1,10000000,1320,100,horario
