tiempo_s,referencia_rpm,velocidad_rpm,error_rpm,duty_percent,encoder_count,referencia_counts_100ms,velocidad_counts_100ms,error_counts_100ms,kp,ki,kd,sample_time_s,sample_time_count,encoder_counts_per_rev,monitor_interval_nominal_ms,sentido_giro
0.063,100.000,0.000,0.000,0.000,0,220,0,0,350,40,0,0.1,10000000,1320,100,horario
0.082,100.000,0.000,0.000,0.000,0,220,0,0,350,40,0,0.1,10000000,1320,100,horario
0.181,100.000,0.000,100.000,85.800,-23,220,0,220,350,40,0,0.1,10000000,1320,100,horario
0.291,100.000,79.091,20.909,26.740,-282,220,-174,46,350,40,0,0.1,10000000,1320,100,horario
0.384,100.000,112.727,-12.727,0.000,-494,220,-248,-28,350,40,0,0.1,10000000,1320,100,horario
0.493,100.000,85.000,15.000,22.390,-673,220,-187,33,350,40,0,0.1,10000000,1320,100,horario
0.588,100.000,63.182,36.818,42.430,-797,220,-139,81,350,40,0,0.1,10000000,1320,100,horario
0.682,100.000,63.182,36.818,45.670,-936,220,-139,81,350,40,0,0.1,10000000,1320,100,horario
0.790,100.000,74.091,25.909,39.550,-1121,220,-163,57,350,40,0,0.1,10000000,1320,100,horario
0.885,100.000,80.000,20.000,36.760,-1287,220,-176,44,350,40,0,0.1,10000000,1320,100,horario
0.994,100.000,79.091,20.909,39.300,-1476,220,-174,46,350,40,0,0.1,10000000,1320,100,horario
1.088,100.000,78.182,21.818,41.920,-1638,220,-172,48,350,40,0,0.1,10000000,1320,100,horario
1.182,100.000,80.000,20.000,42.280,-1808,220,-176,44,350,40,0,0.1,10000000,1320,100,horario
1.292,100.000,84.091,15.909,40.530,-2011,220,-185,35,350,40,0,0.1,10000000,1320,100,horario
1.382,100.000,85.000,15.000,41.150,-2182,220,-187,33,350,40,0,0.1,10000000,1320,100,horario
1.490,100.000,85.000,15.000,42.470,-2384,220,-187,33,350,40,0,0.1,10000000,1320,100,horario
1.587,100.000,86.364,13.636,42.620,-2569,220,-190,30,350,40,0,0.1,10000000,1320,100,horario
1.682,100.000,88.182,11.818,42.260,-2755,220,-194,26,350,40,0,0.1,10000000,1320,100,horario
1.792,100.000,89.545,10.455,42.130,-2971,220,-197,23,350,40,0,0.1,10000000,1320,100,horario
1.887,100.000,90.000,10.000,42.660,-3160,220,-198,22,350,40,0,0.1,10000000,1320,100,horario
1.981,100.000,90.455,9.545,43.150,-3348,220,-199,21,350,40,0,0.1,10000000,1320,100,horario
2.091,100.000,91.364,8.636,43.210,-3570,220,-201,19,350,40,0,0.1,10000000,1320,100,horario
2.187,100.000,92.273,7.727,43.190,-3764,220,-203,17,350,40,0,0.1,10000000,1320,100,horario
2.283,100.000,93.182,6.818,43.090,-3958,220,-205,15,350,40,0,0.1,10000000,1320,100,horario
2.391,100.000,93.636,6.364,43.300,-4183,220,-206,14,350,40,0,0.1,10000000,1320,100,horario
2.485,100.000,93.636,6.364,43.860,-4379,220,-206,14,350,40,0,0.1,10000000,1320,100,horario
2.580,100.000,94.545,5.455,43.640,-4576,220,-208,12,350,40,0,0.1,10000000,1320,100,horario
2.690,100.000,95.000,5.000,43.730,-4807,220,-209,11,350,40,0,0.1,10000000,1320,100,horario
2.784,100.000,95.455,4.545,43.780,-5006,220,-210,10,350,40,0,0.1,10000000,1320,100,horario
2.879,100.000,95.455,4.545,44.180,-5206,220,-210,10,350,40,0,0.1,10000000,1320,100,horario
2.990,100.000,96.364,3.636,43.800,-5441,220,-212,8,350,40,0,0.1,10000000,1320,100,horario
3.079,100.000,96.818,3.182,43.730,-5630,220,-213,7,350,40,0,0.1,10000000,1320,100,horario
3.180,100.000,96.364,3.636,44.400,-5844,220,-212,8,350,40,0,0.1,10000000,1320,100,horario
