tiempo_s,duty,pulsos_por_segundo
0.02005,0,0
0.04007,0,0
0.06008,0,0
0.0801,0,0
0.10014,0,0
0.12018,0,0
0.14024,0,0
0.16024,0,0
0.18028,0,0
0.20032,0,0
0.22035,0,0
0.24037,0,0
0.2604,0,0
0.28042,0,0
0.30045,0,0
0.32046,0,0
0.3405,0,0
0.36052,0,0
0.38054,0,0
0.40054,0,0
0.42058,0,0
0.44062,0,0
0.46064,0,0
0.48069,0,0
0.50069,0,0
0.52069,0,0
0.54073,0,0
0.56076,0,0
0.58081,0,0
0.60084,0,0
0.62088,0,0
0.64092,0,0
0.66094,0,0
0.68099,0,0
0.70099,0,0
0.72102,0,0
0.74102,0,0
0.76107,0,0
0.7811,0,0
0.80115,0,0
0.82115,0,0
0.84118,0,0
0.86121,0,0
0.88126,0,0
0.90132,0,0
0.92135,0,0
0.94137,0,0
0.9614,0,0
0.9814,0,0
1.00142,0,0
1.02145,0,0
1.04147,0,0
1.0615,0,0
1.08154,0,0
1.10154,0,0
1.12158,0,0
1.14158,0,0
1.16161,0,0
1.18165,0,0
1.20167,0,0
1.2217,0,0
1.24173,0,0
1.26173,0,0
1.28178,0,0
1.3018,0,0
1.32182,0,0
1.34187,0,0
1.36191,0,0
1.38194,0,0
1.40199,0,0
1.42201,0,0
1.44205,0,0
1.46208,0,0
1.4821,0,0
1.50212,0,0
1.52213,0,0
1.54214,0,0
1.56216,0,0
1.58216,0,0
1.60217,0,0
1.6222,0,0
1.6422,0,0
1.66221,0,0
1.68223,0,0
1.70226,0,0
1.7223,0,0
1.74234,0,0
1.76234,0,0
1.78235,0,0
1.80236,0,0
1.8224,0,0
1.8424,0,0
1.86245,0,0
1.88248,0,0
1.90251,0,0
1.92252,0,0
1.94256,0,0
1.96256,0,0
1.98258,0,0
2.00263,0.4,0
2.02264,0.4,-49.98
2.04268,0.4,-49.89
2.06272,0.4,-99.82
2.08272,0.4,-150
2.10275,0.4,-149.76
2.1228,0.4,-199.442
2.14285,0.4,-249.451
2.16289,0.4,-249.501
2.1829,0.4,-249.9
2.20294,0.4,-299.341
2.22298,0.4,-349.301
2.24299,0.4,-299.88
2.26303,0.4,-399.122
2.28304,0.4,-349.93
2.30305,0.4,-399.76
2.32306,0.4,-399.76
2.34311,0.4,-448.923
2.36312,0.4,-449.73
2.38314,0.4,-449.55
2.4032,0.4,-448.654
2.42322,0.4,-499.401
2.44326,0.4,-449.102
2.46332,0.4,-498.703
2.48333,0.4,-549.67
2.50336,0.4,-499.102
2.52337,0.4,-499.8
2.5434,0.4,-549.121
2.56344,0.4,-549.121
2.58349,0.4,-548.574
2.60353,0.4,-548.902
2.62353,0.4,-600
2.64355,0.4,-549.341
2.6636,0.4,-598.563
2.68361,0.4,-549.78
2.70364,0.4,-599.042
2.72367,0.4,-599.042
2.74368,0.4,-599.76
2.76371,0.4,-599.042
2.78375,0.4,-598.802
2.80379,0.4,-598.802
2.82382,0.4,-649.221
2.84385,0.4,-599.042
2.8639,0.4,-648.444
2.88392,0.4,-599.161
2.90395,0.4,-649.221
2.92399,0.4,-648.573
2.94399,0.4,-600
2.964,0.4,-649.61
2.98404,0.4,-648.832
3.00406,0.4,-649.48
3.02408,0.4,-649.091
3.04414,0.4,-648.314
3.06419,0.4,-648.314
3.08421,0.4,-649.351
3.10427,0.4,-648.056
3.1243,0.4,-648.832
3.14431,0.4,-649.87
3.16437,0.4,-647.927
3.1844,0.4,-649.221
3.2044,0.4,-699.86
3.22442,0.4,-649.221
3.24445,0.4,-649.091
3.26448,0.4,-698.882
3.28453,0.4,-648.573
3.30454,0.4,-649.74
3.32456,0.4,-699.161
3.34461,0.4,-648.444
3.36461,0.4,-700
3.38463,0.4,-649.351
3.40468,0.4,-698.045
3.42472,0.4,-648.962
3.44475,0.4,-698.882
3.46477,0.4,-699.301
3.48481,0.4,-648.573
3.50485,0.4,-698.603
3.52486,0.4,-649.61
3.54486,0.4,-700
3.56489,0.4,-699.021
3.5849,0.4,-649.74
3.60494,0.4,-698.603
3.62499,0.4,-698.324
3.64499,0.4,-649.87
3.66504,0.4,-698.463
3.68507,0.4,-698.882
3.70512,0.4,-698.045
3.72514,0.4,-649.61
3.74516,0.4,-699.021
3.76518,0.4,-699.44
3.78523,0.4,-698.185
3.80526,0.4,-699.021
3.82533,0.4,-697.628
3.84536,0.4,-648.962
3.86537,0.4,-699.58
3.88539,0.4,-699.44
3.90541,0.4,-699.161
3.92547,0.4,-698.045
3.94548,0.4,-699.58
3.9655,0.4,-699.44
3.98551,0.4,-649.48
4.00556,0.4,-698.324
4.02558,0.4,-699.44
4.0456,0.4,-699.021
4.06566,0.4,-698.045
4.08571,0.4,-698.324
4.10574,0.4,-699.021
4.12574,0.4,-700
4.14576,0.4,-699.301
4.16578,0.4,-699.301
4.18578,0.4,-699.86
4.20579,0.4,-699.72
4.22584,0.4,-698.324
4.24586,0.4,-699.021
4.26589,0.4,-699.021
4.2859,0.4,-699.58
4.30591,0.4,-649.74
4.32594,0.4,-698.882
4.34598,0.4,-698.603
4.36599,0.4,-699.72
4.38602,0.4,-699.021
4.40607,0.4,-698.324
4.42608,0.4,-699.58
