tiempo_s,referencia_rpm,velocidad_rpm,error_rpm,duty_percent,encoder_count,referencia_counts_100ms,velocidad_counts_100ms,error_counts_100ms,kp,ki,kd,sample_time_s,sample_time_count,encoder_counts_per_rev,monitor_interval_nominal_ms,sentido_giro
0.070,100.000,0.000,0.000,0.000,-123109,220,0,0,350,40,50,0.1,10000000,1320,100,horario
0.146,100.000,0.000,0.000,0.000,-123109,220,0,0,350,40,50,0.1,10000000,1320,100,horario
0.240,100.000,0.000,100.000,96.800,-123291,220,0,220,350,40,50,0.1,10000000,1320,100,horario
0.350,100.000,113.182,-13.182,0.000,-123694,220,-249,-29,350,40,50,0.1,10000000,1320,100,horario
0.445,100.000,164.091,-64.091,0.000,-123971,220,-361,-141,350,40,50,0.1,10000000,1320,100,horario
0.543,100.000,129.545,-29.545,0.000,-124187,220,-285,-65,350,40,50,0.1,10000000,1320,100,horario
0.646,100.000,100.000,0.000,2.650,-124373,220,-220,0,350,40,50,0.1,10000000,1320,100,horario
0.739,100.000,75.000,25.000,23.600,-124500,220,-165,55,350,40,50,0.1,10000000,1320,100,horario
0.848,100.000,60.909,39.091,36.690,-124647,220,-134,86,350,40,50,0.1,10000000,1320,100,horario
0.942,100.000,62.273,37.727,37.260,-124791,220,-137,83,350,40,50,0.1,10000000,1320,100,horario
1.037,100.000,70.455,29.545,32.810,-124945,220,-155,65,350,40,50,0.1,10000000,1320,100,horario
1.150,100.000,73.636,26.364,33.230,-125126,220,-162,58,350,40,50,0.1,10000000,1320,100,horario
1.242,100.000,74.091,25.909,35.460,-125282,220,-163,57,350,40,50,0.1,10000000,1320,100,horario
1.336,100.000,76.364,23.636,35.590,-125446,220,-168,52,350,40,50,0.1,10000000,1320,100,horario
1.448,100.000,79.091,20.909,35.280,-125643,220,-174,46,350,40,50,0.1,10000000,1320,100,horario
1.541,100.000,80.909,19.091,35.660,-125812,220,-178,42,350,40,50,0.1,10000000,1320,100,horario
1.649,100.000,82.727,17.273,35.780,-126012,220,-182,38,350,40,50,0.1,10000000,1320,100,horario
1.745,100.000,84.545,15.455,35.740,-126192,220,-186,34,350,40,50,0.1,10000000,1320,100,horario
1.838,100.000,85.000,15.000,36.860,-126371,220,-187,33,350,40,50,0.1,10000000,1320,100,horario
1.946,100.000,86.818,13.182,36.470,-126578,220,-191,29,350,40,50,0.1,10000000,1320,100,horario
2.041,100.000,88.182,11.818,36.510,-126764,220,-194,26,350,40,50,0.1,10000000,1320,100,horario
2.149,100.000,89.091,10.909,36.820,-126976,220,-196,24,350,40,50,0.1,10000000,1320,100,horario
2.246,100.000,90.000,10.000,37.000,-127170,220,-198,22,350,40,50,0.1,10000000,1320,100,horario
2.340,100.000,90.455,9.545,37.540,-127360,220,-199,21,350,40,50,0.1,10000000,1320,100,horario
2.449,100.000,91.364,8.636,37.550,-127580,220,-201,19,350,40,50,0.1,10000000,1320,100,horario
2.545,100.000,92.727,7.273,37.090,-127779,220,-204,16,350,40,50,0.1,10000000,1320,100,horario
2.640,100.000,93.182,6.818,37.440,-127974,220,-205,15,350,40,50,0.1,10000000,1320,100,horario
2.748,100.000,93.636,6.364,37.650,-128198,220,-206,14,350,40,50,0.1,10000000,1320,100,horario
2.844,100.000,94.091,5.909,37.820,-128397,220,-207,13,350,40,50,0.1,10000000,1320,100,horario
2.937,100.000,95.000,5.000,37.510,-128594,220,-209,11,350,40,50,0.1,10000000,1320,100,horario
3.047,100.000,95.455,4.545,37.610,-128824,220,-210,10,350,40,50,0.1,10000000,1320,100,horario
3.141,100.000,95.455,4.545,38.060,-129021,220,-210,10,350,40,50,0.1,10000000,1320,100,horario
3.249,100.000,95.455,4.545,38.460,-129246,220,-210,10,350,40,50,0.1,10000000,1320,100,horario
3.344,100.000,95.455,4.545,38.860,-129450,220,-210,10,350,40,50,0.1,10000000,1320,100,horario
3.438,100.000,97.273,2.727,37.500,-129652,220,-214,6,350,40,50,0.1,10000000,1320,100,horario
3.548,100.000,97.273,2.727,37.940,-129885,220,-214,6,350,40,50,0.1,10000000,1320,100,horario
3.642,100.000,97.273,2.727,38.180,-130088,220,-214,6,350,40,50,0.1,10000000,1320,100,horario
3.749,100.000,97.273,2.727,38.420,-130318,220,-214,6,350,40,50,0.1,10000000,1320,100,horario
3.843,100.000,98.182,1.818,37.780,-130523,220,-216,4,350,40,50,0.1,10000000,1320,100,horario
