tiempo_s,referencia_rpm,velocidad_rpm,error_rpm,duty_percent,encoder_count,referencia_counts_100ms,velocidad_counts_100ms,error_counts_100ms,kp,ki,kd,sample_time_s,sample_time_count,encoder_counts_per_rev,monitor_interval_nominal_ms,sentido_giro
0.084,100.000,0.000,0.000,0.000,0,220,0,0,350,0,0,0.1,10000000,1320,100,horario
0.118,100.000,0.000,0.000,0.000,0,220,0,0,350,0,0,0.1,10000000,1320,100,horario
0.217,100.000,0.000,100.000,77.000,-34,220,0,220,350,0,0,0.1,10000000,1320,100,horario
0.316,100.000,54.091,45.909,35.350,-214,220,-119,101,350,0,0,0.1,10000000,1320,100,horario
0.415,100.000,88.636,11.364,8.750,-397,220,-195,25,350,0,0,0.1,10000000,1320,100,horario
0.517,100.000,74.091,25.909,19.950,-541,220,-163,57,350,0,0,0.1,10000000,1320,100,horario
0.617,100.000,57.273,42.727,32.900,-660,220,-126,94,350,0,0,0.1,10000000,1320,100,horario
0.717,100.000,54.091,45.909,35.350,-785,220,-119,101,350,0,0,0.1,10000000,1320,100,horario
0.815,100.000,60.000,40.000,30.800,-919,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
0.914,100.000,61.818,38.182,29.400,-1052,220,-136,84,350,0,0,0.1,10000000,1320,100,horario
1.016,100.000,59.091,40.909,31.500,-1182,220,-130,90,350,0,0,0.1,10000000,1320,100,horario
1.115,100.000,58.182,41.818,32.200,-1310,220,-128,92,350,0,0,0.1,10000000,1320,100,horario
1.216,100.000,59.545,40.455,31.150,-1442,220,-131,89,350,0,0,0.1,10000000,1320,100,horario
1.317,100.000,59.545,40.455,31.150,-1574,220,-131,89,350,0,0,0.1,10000000,1320,100,horario
1.415,100.000,59.545,40.455,31.150,-1704,220,-131,89,350,0,0,0.1,10000000,1320,100,horario
1.514,100.000,60.000,40.000,30.800,-1835,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
1.617,100.000,59.545,40.455,31.150,-1967,220,-131,89,350,0,0,0.1,10000000,1320,100,horario
1.717,100.000,60.000,40.000,30.800,-2099,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
1.817,100.000,59.091,40.909,31.500,-2230,220,-130,90,350,0,0,0.1,10000000,1320,100,horario
1.915,100.000,60.000,40.000,30.800,-2360,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
2.017,100.000,60.000,40.000,30.800,-2494,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
2.117,100.000,60.000,40.000,30.800,-2626,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
2.216,100.000,60.000,40.000,30.800,-2758,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
2.315,100.000,60.455,39.545,30.450,-2890,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
2.411,100.000,60.000,40.000,30.800,-3019,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
2.517,100.000,60.000,40.000,30.800,-3155,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
2.617,100.000,60.455,39.545,30.450,-3288,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
2.717,100.000,60.000,40.000,30.800,-3420,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
2.817,100.000,60.455,39.545,30.450,-3552,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
2.915,100.000,60.000,40.000,30.800,-3684,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
3.017,100.000,60.000,40.000,30.800,-3817,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
3.117,100.000,60.455,39.545,30.450,-3950,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
3.216,100.000,60.000,40.000,30.800,-4082,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
3.316,100.000,60.455,39.545,30.450,-4215,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
3.411,100.000,60.455,39.545,30.450,-4343,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
3.516,100.000,60.000,40.000,30.800,-4479,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
3.616,100.000,60.000,40.000,30.800,-4612,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
3.715,100.000,60.000,40.000,30.800,-4744,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
3.817,100.000,60.455,39.545,30.450,-4877,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
3.916,100.000,60.455,39.545,30.450,-5009,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
4.016,100.000,60.000,40.000,30.800,-5142,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
4.117,100.000,60.000,40.000,30.800,-5274,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
4.213,100.000,60.455,39.545,30.450,-5404,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
4.316,100.000,60.455,39.545,30.450,-5540,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
4.416,100.000,60.455,39.545,30.450,-5672,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
4.513,100.000,60.000,40.000,30.800,-5802,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
4.616,100.000,60.455,39.545,30.450,-5937,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
4.716,100.000,60.000,40.000,30.800,-6069,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
4.816,100.000,60.000,40.000,30.800,-6202,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
4.916,100.000,60.909,39.091,30.100,-6335,220,-134,86,350,0,0,0.1,10000000,1320,100,horario
5.014,100.000,60.455,39.545,30.450,-6466,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
5.116,100.000,60.000,40.000,30.800,-6601,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
5.216,100.000,60.455,39.545,30.450,-6733,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
5.315,100.000,60.000,40.000,30.800,-6865,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
5.416,100.000,60.455,39.545,30.450,-6999,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
5.516,100.000,60.455,39.545,30.450,-7132,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
5.613,100.000,60.455,39.545,30.450,-7263,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
5.714,100.000,60.455,39.545,30.450,-7396,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
5.816,100.000,60.000,40.000,30.800,-7529,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
5.916,100.000,60.000,40.000,30.800,-7662,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
6.014,100.000,60.909,39.091,30.100,-7793,220,-134,86,350,0,0,0.1,10000000,1320,100,horario
6.116,100.000,60.455,39.545,30.450,-7928,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
6.216,100.000,60.455,39.545,30.450,-8061,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
6.316,100.000,60.000,40.000,30.800,-8193,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
6.416,100.000,60.455,39.545,30.450,-8325,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
6.516,100.000,60.455,39.545,30.450,-8459,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
6.616,100.000,60.000,40.000,30.800,-8592,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
6.715,100.000,60.909,39.091,30.100,-8724,220,-134,86,350,0,0,0.1,10000000,1320,100,horario
6.816,100.000,60.000,40.000,30.800,-8857,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
6.916,100.000,60.455,39.545,30.450,-8989,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
7.016,100.000,60.000,40.000,30.800,-9122,220,-132,88,350,0,0,0.1,10000000,1320,100,horario
7.116,100.000,60.455,39.545,30.450,-9255,220,-133,87,350,0,0,0.1,10000000,1320,100,horario
